NO,식품명,식품대분류,식품상세분류
2183,"조개, 개량조개(명주조개), 생것",농축산물,어패류 및 기타 수산물
2184,"조개, 개량조개(명주조개), 말린것",농축산물,어패류 및 기타 수산물
2185,"조개, 개조개, 생것",농축산물,어패류 및 기타 수산물
2186,"조개, 떡조개, 생것",농축산물,어패류 및 기타 수산물
2187,"조개, 맛조개, 생것",농축산물,어패류 및 기타 수산물
2188,"조개, 맛조개, 말린것",농축산물,어패류 및 기타 수산물
2189,"조개, 살조개, 생것",농축산물,어패류 및 기타 수산물
2190,"조개, 새조개, 생것",농축산물,어패류 및 기타 수산물
2191,"조개, 새조개, 말린것",농축산물,어패류 및 기타 수산물
2192,"조개, 새조개, 조미하여 말린것",농축산물,어패류 및 기타 수산물
2193,"조개, 왕우럭조개, 생것",농축산물,어패류 및 기타 수산물
2194,"조개, 우럭, 생것",농축산물,어패류 및 기타 수산물
2195,"조개, 접시조개(비단조개), 생것",농축산물,어패류 및 기타 수산물
2196,"조개, 진주조개, 생것",농축산물,어패류 및 기타 수산물
2197,"조개, 키조개, 생것",농축산물,어패류 및 기타 수산물
2198,"조개, 키조개, 패주, 생것",농축산물,어패류 및 기타 수산물
2199,"조개, 키조개, 근육, 생것",농축산물,어패류 및 기타 수산물
2200,"조개, 펄조개, 생것",농축산물,어패류 및 기타 수산물
2201,"조개, 피조개, 생것",농축산물,어패류 및 기타 수산물
2202,"조개, 피조개, 통조림, 조미",농축산물,어패류 및 기타 수산물
2203,"조개, 피조개, 양식, 생것",농축산물,어패류 및 기타 수산물
2204,"조개, 젓갈",농축산물,어패류 및 기타 수산물
2205,"가재, 갯가재, 생것",농축산물,어패류 및 기타 수산물
2206,"가재, 갯가재, 삶은것",농축산물,어패류 및 기타 수산물
2207,"가재, 바닷가재, 생것",농축산물,어패류 및 기타 수산물
2208,"가재, 바닷가재, 찐것",농축산물,어패류 및 기타 수산물
2209,"개불, 생것",농축산물,어패류 및 기타 수산물
2210,"게, 꽃게, 생것",농축산물,어패류 및 기타 수산물
2211,"게, 꽃게, 찐것",농축산물,어패류 및 기타 수산물
2212,"게, 닭게, 생것",농축산물,어패류 및 기타 수산물
2213,"게, 닭게, 삶은것",농축산물,어패류 및 기타 수산물
2214,"게, 닭게, 젓갈",농축산물,어패류 및 기타 수산물
2215,"게, 대게, 생것",농축산물,어패류 및 기타 수산물
2216,"게, 대게, 삶은것",농축산물,어패류 및 기타 수산물
2217,"게, 대게, 삶아서 말린것",농축산물,어패류 및 기타 수산물
2218,"게, 대게, 통조림",농축산물,어패류 및 기타 수산물
2219,"게, 민꽃게, 생것",농축산물,어패류 및 기타 수산물
2220,"게, 방게, 생것",농축산물,어패류 및 기타 수산물
2221,"게, 붉은대게, 생것",농축산물,어패류 및 기타 수산물
2222,"게, 왕게, 생것",농축산물,어패류 및 기타 수산물
2223,"게, 왕게, 삶은것",농축산물,어패류 및 기타 수산물
2224,"게, 주름송편게, 생것",농축산물,어패류 및 기타 수산물
2225,"게, 참게, 생것",농축산물,어패류 및 기타 수산물
2226,"게맛살, 어육함량이 낮은것",농축산물,어패류 및 기타 수산물
2227,"게맛살, 어육함량이 낮은것, 데친것",농축산물,어패류 및 기타 수산물
2228,"게맛살, 어육함량이 높은것",농축산물,어패류 및 기타 수산물
2229,"군소, 생것",농축산물,어패류 및 기타 수산물
2230,"군소, 풍선군소, 생것",농축산물,어패류 및 기타 수산물
2231,"꼴뚜기, 불똥꼴뚜기, 생것",농축산물,어패류 및 기타 수산물
2232,"꼴뚜기, 불똥꼴뚜기, 삶은것",농축산물,어패류 및 기타 수산물
2233,"꼴뚜기, 불똥꼴뚜기, 조린것",농축산물,어패류 및 기타 수산물
2234,"꼴뚜기, 불똥꼴뚜기, 조미훈제",농축산물,어패류 및 기타 수산물
2235,"꼴뚜기, 참꼴뚜기, 생것",농축산물,어패류 및 기타 수산물
2236,"꼴뚜기, 참꼴뚜기, 삶아서 말린것",농축산물,어패류 및 기타 수산물
2237,"꼴뚜기, 창꼴뚜기, 생것",농축산물,어패류 및 기타 수산물
2238,"꼴뚜기, 젓갈",농축산물,어패류 및 기타 수산물
2239,"꼴뚜기, 양념젓갈",농축산물,어패류 및 기타 수산물
2240,"낙지, 생것",농축산물,어패류 및 기타 수산물
2241,"낙지, 세발낙지, 생것",농축산물,어패류 및 기타 수산물
2242,"낙지, 양념젓갈",농축산물,어패류 및 기타 수산물
2243,"멍게(우렁쉥이), 생것",농축산물,어패류 및 기타 수산물
2244,"멍게, 양식, 생것",농축산물,어패류 및 기타 수산물
2245,"멍게, 양념젓갈",농축산물,어패류 및 기타 수산물
2246,"멍게, 끈멍게, 생것",농축산물,어패류 및 기타 수산물
2247,"멍게, 붉은멍게, 생것",농축산물,어패류 및 기타 수산물
2248,"문어, 생것",농축산물,어패류 및 기타 수산물
2249,"문어, 삶은것",농축산물,어패류 및 기타 수산물
2250,"문어, 대문어, 생것",농축산물,어패류 및 기타 수산물
2251,"문어, 대문어, 말린것",농축산물,어패류 및 기타 수산물
2252,"문어, 참문어, 생것",농축산물,어패류 및 기타 수산물
2253,"미더덕, 생것",농축산물,어패류 및 기타 수산물
2254,"미더덕, 주름미더덕, 생것",농축산물,어패류 및 기타 수산물
2255,"새우, 가시발새우, 생것",농축산물,어패류 및 기타 수산물
2256,"새우, 각시흰새우, 생것",농축산물,어패류 및 기타 수산물
2257,"새우, 긴뿔천길새우, 생것",농축산물,어패류 및 기타 수산물
2258,"새우, 꽃새우, 생것",농축산물,어패류 및 기타 수산물
2259,"새우, 꽃새우, 삶아서 말린것",농축산물,어패류 및 기타 수산물
2260,"새우, 꽃새우, 찐것",농축산물,어패류 및 기타 수산물
2261,"새우, 꽃새우, 튀긴것(빵가루)",농축산물,어패류 및 기타 수산물
2262,"새우, 꽃새우, 냉동",농축산물,어패류 및 기타 수산물
2263,"새우, 꽃새우, 장조림",농축산물,어패류 및 기타 수산물
2264,"새우, 닭새우, 생것",농축산물,어패류 및 기타 수산물
2265,"새우, 대하, 생것",농축산물,어패류 및 기타 수산물
2266,"새우, 대하, 말린것",농축산물,어패류 및 기타 수산물
2267,"새우, 물렁가시붉은새우, 생것",농축산물,어패류 및 기타 수산물
2268,"새우, 보리새우, 생것",농축산물,어패류 및 기타 수산물
2269,"새우, 보리새우, 삶은것",농축산물,어패류 및 기타 수산물
2270,"새우, 부채새우, 생것",농축산물,어패류 및 기타 수산물
2271,"새우, 중하, 생것",농축산물,어패류 및 기타 수산물
2272,"새우, 중하, 삶아서 말린것",농축산물,어패류 및 기타 수산물
2273,"새우, 중하, 조미하여 말린것",농축산물,어패류 및 기타 수산물
2274,"새우, 중하, 통조림",농축산물,어패류 및 기타 수산물
2275,"새우, 중하, 젓갈",농축산물,어패류 및 기타 수산물
2276,"새우, 젓새우, 생것",농축산물,어패류 및 기타 수산물
2277,"새우, 젓새우, 조린것",농축산물,어패류 및 기타 수산물
2278,"새우, 젓새우, 젓갈",농축산물,어패류 및 기타 수산물
2279,"새우, 징거미새우, 생것",농축산물,어패류 및 기타 수산물
2280,"새우, 철모새우(도화새우), 생것",농축산물,어패류 및 기타 수산물
2281,"새우, 펄닭새우, 생것",농축산물,어패류 및 기타 수산물
2282,"새우, 흰다리새우, 생것",농축산물,어패류 및 기타 수산물
2283,"새우, 껍질, 생것",농축산물,어패류 및 기타 수산물
2284,"새우 볶음, 말린것, 볶은것",농축산물,어패류 및 기타 수산물
2285,"새우 튀김용, 냉동",농축산물,어패류 및 기타 수산물
2286,"새우 튀김용, 튀긴것(빵가루)",농축산물,어패류 및 기타 수산물
2287,"새우, 젓갈",농축산물,어패류 및 기타 수산물
2288,"새우, 젓갈, 추젓",농축산물,어패류 및 기타 수산물
2289,"새우, 젓갈, 토굴대때기젓",농축산물,어패류 및 기타 수산물
2290,"새우, 젓갈, 토굴동백하젓",농축산물,어패류 및 기타 수산물
2291,"새우, 젓갈, 토굴오젓",농축산물,어패류 및 기타 수산물
2292,"새우, 젓갈, 토굴육젓",농축산물,어패류 및 기타 수산물
2293,"새우, 젓갈, 토굴추젓",농축산물,어패류 및 기타 수산물
2294,"성게, 생것",농축산물,어패류 및 기타 수산물
2295,"성게, 젓갈",농축산물,어패류 및 기타 수산물
2296,"성게, 알, 젓갈",농축산물,어패류 및 기타 수산물
2297,"성게, 보라성게, 생것",농축산물,어패류 및 기타 수산물
2298,"성게, 보라성게, 알, 생것",농축산물,어패류 및 기타 수산물
2299,"성게, 보라성게, 알, 젓갈",농축산물,어패류 및 기타 수산물
2300,"성게, 통조림",농축산물,어패류 및 기타 수산물
2301,"오징어, 생것",농축산물,어패류 및 기타 수산물
2302,"오징어, 구운것",농축산물,어패류 및 기타 수산물
2303,"오징어, 튀긴것",농축산물,어패류 및 기타 수산물
2304,"오징어, 말린것",농축산물,어패류 및 기타 수산물
2305,"오징어, 냉동",농축산물,어패류 및 기타 수산물
2306,"오징어, 조미, 구운것",농축산물,어패류 및 기타 수산물
2307,"오징어, 조미훈제",농축산물,어패류 및 기타 수산물
2308,"오징어, 채, 조미하여 말린것",농축산물,어패류 및 기타 수산물
2309,"오징어, 포, 조미하여 말린것",농축산물,어패류 및 기타 수산물
2310,"오징어, 갑오징어, 생것",농축산물,어패류 및 기타 수산물
2311,"오징어, 갑오징어, 말린것",농축산물,어패류 및 기타 수산물
2312,"오징어, 살오징어, 생것",농축산물,어패류 및 기타 수산물
2313,"오징어, 쇠갑오징어, 생것",농축산물,어패류 및 기타 수산물
2314,"오징어, 참갑오징어, 생것",농축산물,어패류 및 기타 수산물
2315,"오징어, 양념젓갈",농축산물,어패류 및 기타 수산물
2316,"오징어, 내장, 젓갈",농축산물,어패류 및 기타 수산물
2317,오징어 튀김,농축산물,어패류 및 기타 수산물
2318,오징어채 볶음,농축산물,어패류 및 기타 수산물
2319,"주꾸미, 생것",농축산물,어패류 및 기타 수산물
2320,"크릴, 생것",농축산물,어패류 및 기타 수산물
2321,"크릴, 삶은것",농축산물,어패류 및 기타 수산물
2322,크릴 페이스트,농축산물,어패류 및 기타 수산물
2323,"한치, 생것",농축산물,어패류 및 기타 수산물
2324,"해삼, 생것",농축산물,어패류 및 기타 수산물
2325,"해삼, 말린것",농축산물,어패류 및 기타 수산물
2326,"해삼, 염장",농축산물,어패류 및 기타 수산물
2327,"해삼, 젓갈",농축산물,어패류 및 기타 수산물
2328,"해삼, 내장, 젓갈",농축산물,어패류 및 기타 수산물
2329,"해파리, 생것",농축산물,어패류 및 기타 수산물
2330,모유,농축산물,우유 및 유제품류
2331,분유,농축산물,우유 및 유제품류
2332,"분유, 1단계",농축산물,우유 및 유제품류
2333,"분유, 2단계",농축산물,우유 및 유제품류
2334,"분유, 3단계",농축산물,우유 및 유제품류
2335,"분유, 전지",농축산물,우유 및 유제품류
2336,"분유, 탈지",농축산물,우유 및 유제품류
2337,산양유,농축산물,우유 및 유제품류
2338,셔벗,농축산물,우유 및 유제품류
2339,아이스밀크,농축산물,우유 및 유제품류
2340,"아이스크림, 딸기맛",농축산물,우유 및 유제품류
2341,"아이스크림, 바닐라맛",농축산물,우유 및 유제품류
2342,"아이스크림, 초콜릿맛",농축산물,우유 및 유제품류
2343,"아이스크림, 유지방 8%",농축산물,우유 및 유제품류
2344,"아이스크림, 유지방 12%",농축산물,우유 및 유제품류
2345,"아이스크림, 소프트 아이스크림, 바닐라맛",농축산물,우유 및 유제품류
2346,"연유, 점성이 낮은것",농축산물,우유 및 유제품류
2347,"연유, 점성이 높은것",농축산물,우유 및 유제품류
2348,"요구르트, 액상",농축산물,우유 및 유제품류
2349,"요구르트, 액상, 저당",농축산물,우유 및 유제품류
2350,"요구르트, 액상(농후), 딸기맛",농축산물,우유 및 유제품류
2351,"요구르트, 액상(농후), 플레인",농축산물,우유 및 유제품류
2352,"요구르트, 액상(농후), 식이섬유 첨가",농축산물,우유 및 유제품류
2353,"요구르트, 액상(농후), 사과맛, 식이섬유 첨가",농축산물,우유 및 유제품류
2354,"요구르트, 액상(농후), 저지방, 식이섬유 첨가",농축산물,우유 및 유제품류
2355,"요구르트, 액상(농후), 플레인, 식이섬유 첨가",농축산물,우유 및 유제품류
2356,"요구르트, 호상, 딸기맛",농축산물,우유 및 유제품류
2357,"요구르트, 호상, 망고맛",농축산물,우유 및 유제품류
2358,"요구르트, 호상, 플레인",농축산물,우유 및 유제품류
2359,우유,농축산물,우유 및 유제품류
2360,"우유, 가공우유, 딸기맛",농축산물,우유 및 유제품류
2361,"우유, 가공우유, 바나나맛",농축산물,우유 및 유제품류
2362,"우유, 가공우유, 초코맛",농축산물,우유 및 유제품류
2363,"우유, 가공우유, 커피맛",농축산물,우유 및 유제품류
2364,"우유, 강화우유, 고칼슘",농축산물,우유 및 유제품류
2365,"우유, 저지방우유",농축산물,우유 및 유제품류
2366,"치즈, 고다",농축산물,우유 및 유제품류
2367,"치즈, 까망베르",농축산물,우유 및 유제품류
2368,"치즈, 리코타",농축산물,우유 및 유제품류
2369,"치즈, 모차렐라",농축산물,우유 및 유제품류
2370,"치즈, 모차렐라, 슈레드타입",농축산물,우유 및 유제품류
2371,"치즈, 브리",농축산물,우유 및 유제품류
2372,"치즈, 브릭",농축산물,우유 및 유제품류
2373,"치즈, 블루",농축산물,우유 및 유제품류
2374,"치즈, 체다",농축산물,우유 및 유제품류
2375,"치즈, 카테지",농축산물,우유 및 유제품류
2376,"치즈, 크림",농축산물,우유 및 유제품류
2377,"치즈, 파르메산(파마산)",농축산물,우유 및 유제품류
2378,"커피크리머, 가루",농축산물,우유 및 유제품류
2379,"커피크리머, 액상, 식물성지방",농축산물,우유 및 유제품류
2380,"커피크리머, 액상, 유지방",농축산물,우유 및 유제품류
2381,"크림, 생크림",농축산물,우유 및 유제품류
2382,"크림, 휘핑, 동물성",농축산물,우유 및 유제품류
2383,"크림, 휘핑, 식물성",농축산물,우유 및 유제품류
2384,고추기름,농축산물,유지류
2385,닭기름,농축산물,유지류
2386,돼지기름,농축산물,유지류
2387,들기름,농축산물,유지류
2388,땅콩 버터,농축산물,유지류
2389,"땅콩 버터, 청크",농축산물,유지류
2390,"땅콩 버터, 크림",농축산물,유지류
2391,땅콩기름,농축산물,유지류
2392,마가린,농축산물,유지류
2393,면실유,농축산물,유지류
2394,버터,농축산물,유지류
2395,복숭아씨기름,농축산물,유지류
2396,쇠기름,농축산물,유지류
2397,쇼트닝,농축산물,유지류
2398,쌀겨기름(미강유),농축산물,유지류
2399,아마씨유,농축산물,유지류
2400,아몬드유,농축산물,유지류
2401,아보카도유,농축산물,유지류
2402,연어기름,농축산물,유지류
2403,옥수수기름,농축산물,유지류
2404,올리브유,농축산물,유지류
2405,유채씨기름,농축산물,유지류
2406,잇꽃씨기름,농축산물,유지류
2407,참기름,농축산물,유지류
2408,코코넛유,농축산물,유지류
2409,콩기름,농축산물,유지류
2410,팜유,농축산물,유지류
2411,포도씨유,농축산물,유지류
2412,해바라기유,농축산물,유지류
2413,호두유,농축산물,유지류
2414,혼합식물성유,농축산물,유지류
2415,"개구리고기, 생것",농축산물,육류
2416,"거위고기, 살코기, 생것",농축산물,육류
2417,"거위고기, 살코기, 구운것",농축산물,육류
2418,"거위 부산물, 간, 생것",농축산물,육류
2419,"고래고기, 생것",농축산물,육류
2420,"고래고기, 복부정육, 생것",농축산물,육류
2421,"고래고기, 복부지육, 생것",농축산물,육류
2422,"고래고기, 붉은살, 냉동",농축산물,육류
2423,"고래고기, 붉은살, 염절임",농축산물,육류
2424,"고래 부산물, 꼬리, 생것",농축산물,육류
2425,"고래 부산물, 꼬리, 냉동",농축산물,육류
2426,"꿩고기, 숫꿩, 생것",농축산물,육류
2427,"꿩고기, 암꿩, 생것",농축산물,육류
2428,"닭고기, 살코기, 생것",농축산물,육류
2429,"닭고기, 살코기, 삶은것",농축산물,육류
2430,"닭고기, 구운것",농축산물,육류
2431,"닭고기, 살코기, 튀긴것(튀김옷)",농축산물,육류
2432,"닭고기, 전체, 튀긴것",농축산물,육류
2433,"닭고기, 가슴, 생것",농축산물,육류
2434,"닭고기, 가슴, 삶은것",농축산물,육류
2435,"닭고기, 가슴, 구운것(팬)",농축산물,육류
2436,"닭고기, 가슴, 튀긴것(튀김옷)",농축산물,육류
2437,"닭고기, 날개, 생것",농축산물,육류
2438,"닭고기, 날개, 삶은것",농축산물,육류
2439,"닭고기, 날개, 구운것(오븐)",농축산물,육류
2440,"닭고기, 날개, 튀긴것(튀김옷)",농축산물,육류
2441,"닭고기, 다리(넓적다리), 생것",농축산물,육류
2442,"닭고기, 다리(넓적다리), 삶은것",농축산물,육류
2443,"닭고기, 다리(넓적다리), 구운것(팬)",농축산물,육류
2444,"닭고기, 다리(넓적다리), 튀긴것(튀김옷)",농축산물,육류
2445,"닭고기, 다리(아랫다리), 생것",농축산물,육류
2446,"닭고기, 다리(아랫다리), 삶은것",농축산물,육류
2447,"닭고기, 다리(아랫다리), 구운것(오븐)",농축산물,육류
2448,"닭고기, 다리(아랫다리), 튀긴것(튀김옷)",농축산물,육류
2449,"닭고기, 목, 생것",농축산물,육류
2450,"닭고기, 목, 튀긴것(튀김옷)",농축산물,육류
2451,"닭고기, 성계, 생것",농축산물,육류
2452,"닭고기, 영계, 삶은것",농축산물,육류
2453,"닭고기, 오골계, 생것",농축산물,육류
2454,"닭고기, 토종, 생것",농축산물,육류
2455,"닭고기, 토종, 살코기",농축산물,육류
2456,"닭고기, 토종, 껍질",농축산물,육류
2457,"닭고기, 토종, 가슴",농축산물,육류
2458,"닭고기, 토종, 날개",농축산물,육류
2459,"닭고기, 토종, 다리",농축산물,육류
2460,"닭 부산물, 간, 생것",농축산물,육류
2461,"닭 부산물, 간, 삶은것",농축산물,육류
2462,"닭 부산물, 모래주머니, 생것",농축산물,육류
2463,"닭 부산물, 모래주머니, 구운것(오븐)",농축산물,육류
2464,"닭 부산물, 심장, 생것",농축산물,육류
2465,"닭 부산물, 심장, 삶은것",농축산물,육류
2466,"닭 부산물, 닭발, 삶은것",농축산물,육류
2467,닭 육수,농축산물,육류
2468,닭뼈 육수,농축산물,육류
2469,닭꼬치,농축산물,육류
2470,"돼지고기, 살코기, 생것",농축산물,육류
2471,"돼지고기, 갈비, 생것",농축산물,육류
2472,"돼지고기, 갈비, 삶은것",농축산물,육류
2473,"돼지고기, 갈비, 구운것(팬)",농축산물,육류
2474,"돼지고기, 뒷다리, 생것",농축산물,육류
2475,"돼지고기, 뒷다리, 삶은것",농축산물,육류
2476,"돼지고기, 뒷다리, 구운것(팬)",농축산물,육류
2477,"돼지고기, 뒷다리(도가니살), 생것",농축산물,육류
2478,"돼지고기, 뒷다리(뒷사태살), 생것",농축산물,육류
2479,"돼지고기, 뒷다리(보섭살), 생것",농축산물,육류
2480,"돼지고기, 뒷다리(볼기살), 생것",농축산물,육류
2481,"돼지고기, 뒷다리(설깃살), 생것",농축산물,육류
2482,"돼지고기, 뒷다리(홍두깨살), 생것",농축산물,육류
2483,"돼지고기, 등심, 생것",농축산물,육류
2484,"돼지고기, 등심, 삶은것",농축산물,육류
2485,"돼지고기, 등심, 구운것(팬)",농축산물,육류
2486,"돼지고기, 등심(등심살), 생것",농축산물,육류
2487,"돼지고기, 등심(등심덧살), 생것",농축산물,육류
2488,"돼지고기, 등심(알등심살), 생것",농축산물,육류
2489,"돼지고기, 목심, 생것",농축산물,육류
2490,"돼지고기, 목심, 삶은것",농축산물,육류
2491,"돼지고기, 목심, 구운것(팬)",농축산물,육류
2492,"돼지고기, 사태, 생것",농축산물,육류
2493,"돼지고기, 사태, 삶은것",농축산물,육류
2494,"돼지고기, 사태, 구운것(팬)",농축산물,육류
2495,"돼지고기, 삼겹살, 생것",농축산물,육류
2496,"돼지고기, 삼겹살, 삶은것",농축산물,육류
2497,"돼지고기, 삼겹살, 구운것(팬)",농축산물,육류
2498,"돼지고기, 삼겹살(갈매기살), 생것",농축산물,육류
2499,"돼지고기, 삼겹살(등갈비), 생것",농축산물,육류
2500,"돼지고기, 삼겹살(삼겹살), 생것",농축산물,육류
2501,"돼지고기, 삼겹살(오돌삼겹), 생것",농축산물,육류
2502,"돼지고기, 삼겹살(토시살), 생것",농축산물,육류
2503,"돼지고기, 안심, 생것",농축산물,육류
2504,"돼지고기, 안심, 삶은것",농축산물,육류
2505,"돼지고기, 안심, 구운것(팬)",농축산물,육류
2506,"돼지고기, 앞다리, 생것",농축산물,육류
2507,"돼지고기, 앞다리(꾸리살), 생것",농축산물,육류
2508,"돼지고기, 앞다리(부채살), 생것",농축산물,육류
2509,"돼지고기, 앞다리(앞다리살), 생것",농축산물,육류
2510,"돼지고기, 앞다리(앞사태살), 생것",농축산물,육류
2511,"돼지고기, 앞다리(주걱살), 생것",농축산물,육류
2512,"돼지고기, 앞다리(항정살), 생것",농축산물,육류
2513,"돼지 부산물, 간, 생것",농축산물,육류
2514,"돼지 부산물, 간, 삶은것",농축산물,육류
2515,"돼지 부산물, 대장, 생것",농축산물,육류
2516,"돼지 부산물, 대장, 삶은것",농축산물,육류
2517,"돼지 부산물, 맹장, 생것",농축산물,육류
2518,"돼지 부산물, 머리고기, 생것",농축산물,육류
2519,"돼지 부산물, 비장, 생것",농축산물,육류
2520,"돼지 부산물, 소창(곱창), 생것",농축산물,육류
2521,"돼지 부산물, 소창(곱창), 삶은것",농축산물,육류
2522,"돼지 부산물, 신장, 생것",농축산물,육류
2523,"돼지 부산물, 신장, 삶은것",농축산물,육류
2524,"돼지 부산물, 심장(염통), 생것",농축산물,육류
2525,"돼지 부산물, 심장(염통), 삶은것",농축산물,육류
2526,"돼지 부산물, 위(오소리감투), 생것",농축산물,육류
2527,"돼지 부산물, 위(오소리감투), 삶은것",농축산물,육류
2528,"돼지 부산물, 자궁, 생것",농축산물,육류
2529,"돼지 부산물, 족발, 생것",농축산물,육류
2530,"돼지 부산물, 족발, 삶은것",농축산물,육류
2531,"돼지 부산물, 족발, 조미, 삶은것",농축산물,육류
2532,"돼지 부산물, 직장, 생것",농축산물,육류
2533,"돼지 부산물, 췌장, 생것",농축산물,육류
2534,"돼지 부산물, 허파, 생것",농축산물,육류
2535,"돼지 부산물, 허파, 삶은것",농축산물,육류
2536,베이컨,농축산물,육류
2537,"베이컨, 구운것",농축산물,육류
2538,"소시지, 말린것",농축산물,육류
2539,"소시지, 리용소시지",농축산물,육류
2540,"소시지, 볼로냐소시지",농축산물,육류
2541,"소시지, 위너(비엔나)소시지",농축산물,육류
2542,"소시지, 이탈리안소시지",농축산물,육류
2543,"소시지, 프랑크푸르트소시지",농축산물,육류
2544,"햄, 등심햄",농축산물,육류
2545,"햄, 런천미트햄",농축산물,육류
2546,"햄, 본레스햄, 구운것",농축산물,육류
2547,"햄, 프레스햄",농축산물,육류
2548,"햄, 프레스햄, 데친것",농축산물,육류
2549,"햄, 프레스햄, 구운것(팬)",농축산물,육류
2550,"햄, 슬라이스햄",농축산물,육류
2551,"햄, 슬라이스햄, 데친것",농축산물,육류
2552,"햄, 슬라이스햄, 구운것(팬)",농축산물,육류
2553,"돼지불고기, 생것",농축산물,육류
2554,"순대, 선지 비율 낮은것",농축산물,육류
2555,"순대, 선지 비율 높은것",농축산물,육류
2556,"포크커틀릿, 냉동",농축산물,육류
2557,"포크커틀릿, 냉동, 튀긴것(빵가루)",농축산물,육류
2558,"말고기, 살코기, 생것",농축산물,육류
2559,"메추리고기, 생것",농축산물,육류
2560,"멧돼지고기, 생것",농축산물,육류
2561,"멧돼지고기, 앞다리, 생것",농축산물,육류
2562,"소고기, 수입산, 갈비, 구운것(오븐)",농축산물,육류
2563,"소고기, 수입산, 목심(목심살), 생것",농축산물,육류
2564,"소고기, 수입산, 목심(목심살), 삶은것",농축산물,육류
2565,"소고기, 수입산, 사태, 끓인것",농축산물,육류
2566,"소고기, 수입산, 설도, 구운것(석쇠)",농축산물,육류
2567,"소고기, 수입산, 안심(안심살), 구운것",농축산물,육류
2568,"소고기, 한우, 갈비, 생것",농축산물,육류
2569,"소고기, 한우, 등심, 생것",농축산물,육류
2570,"소고기, 한우, 등심, 삶은것",농축산물,육류
2571,"소고기, 한우, 등심, 구운것(팬)",농축산물,육류
2572,"소고기, 한우, 양지, 생것",농축산물,육류
2573,"소고기, 한우, 양지, 삶은것",농축산물,육류
2574,"소고기, 한우, 양지, 구운것(팬)",농축산물,육류
2575,"소고기, 한우, 채끝, 생것",농축산물,육류
2576,"소고기, 한우(1++등급), 살코기, 생것",농축산물,육류
2577,"소고기, 한우(1++등급), 갈비, 생것",농축산물,육류
2578,"소고기, 한우(1++등급), 갈비(꽃갈비), 생것",농축산물,육류
2579,"소고기, 한우(1++등급), 갈비(본갈비), 생것",농축산물,육류
2580,"소고기, 한우(1++등급), 갈비(안창살), 생것",농축산물,육류
2581,"소고기, 한우(1++등급), 갈비(제비추리), 생것",농축산물,육류
2582,"소고기, 한우(1++등급), 갈비(참갈비), 생것",농축산물,육류
2583,"소고기, 한우(1++등급), 갈비(토시살), 생것",농축산물,육류
2584,"소고기, 한우(1++등급), 등심, 생것",농축산물,육류
2585,"소고기, 한우(1++등급), 등심(꽃등심살), 생것",농축산물,육류
2586,"소고기, 한우(1++등급), 등심(살치살), 생것",농축산물,육류
2587,"소고기, 한우(1++등급), 등심(아래등심살), 생것",농축산물,육류
2588,"소고기, 한우(1++등급), 등심(윗등심살), 생것",농축산물,육류
2589,"소고기, 한우(1++등급), 목심, 생것",농축산물,육류
2590,"소고기, 한우(1++등급), 사태, 생것",농축산물,육류
2591,"소고기, 한우(1++등급), 사태(뒷사태), 생것",농축산물,육류
2592,"소고기, 한우(1++등급), 사태(뭉치사태), 생것",농축산물,육류
2593,"소고기, 한우(1++등급), 사태(상박살), 생것",농축산물,육류
2594,"소고기, 한우(1++등급), 사태(아롱사태), 생것",농축산물,육류
2595,"소고기, 한우(1++등급), 사태(앞사태), 생것",농축산물,육류
2596,"소고기, 한우(1++등급), 설도, 생것",농축산물,육류
2597,"소고기, 한우(1++등급), 설도(도가니살), 생것",농축산물,육류
2598,"소고기, 한우(1++등급), 설도(보섭살), 생것",농축산물,육류
2599,"소고기, 한우(1++등급), 설도(삼각살), 생것",농축산물,육류
2600,"소고기, 한우(1++등급), 설도(설깃머리살), 생것",농축산물,육류
2601,"소고기, 한우(1++등급), 설도(설깃살), 생것",농축산물,육류
2602,"소고기, 한우(1++등급), 안심, 생것",농축산물,육류
2603,"소고기, 한우(1++등급), 앞다리, 생것",농축산물,육류
2604,"소고기, 한우(1++등급), 앞다리(갈비덧살), 생것",농축산물,육류
2605,"소고기, 한우(1++등급), 앞다리(꾸리살), 생것",농축산물,육류
2606,"소고기, 한우(1++등급), 앞다리(부채덮개살), 생것",농축산물,육류
2607,"소고기, 한우(1++등급), 앞다리(부채살), 생것",농축산물,육류
2608,"소고기, 한우(1++등급), 앞다리(앞다리살), 생것",농축산물,육류
2609,"소고기, 한우(1++등급), 양지, 생것",농축산물,육류
2610,"소고기, 한우(1++등급), 양지(앞치마살), 생것",농축산물,육류
2611,"소고기, 한우(1++등급), 양지(양지머리), 생것",농축산물,육류
2612,"소고기, 한우(1++등급), 양지(업진살), 생것",농축산물,육류
2613,"소고기, 한우(1++등급), 양지(업진안살), 생것",농축산물,육류
2614,"소고기, 한우(1++등급), 양지(차돌박이), 생것",농축산물,육류
2615,"소고기, 한우(1++등급), 양지(치마살), 생것",농축산물,육류
2616,"소고기, 한우(1++등급), 양지(치마양지), 생것",농축산물,육류
2617,"소고기, 한우(1++등급), 우둔, 생것",농축산물,육류
2618,"소고기, 한우(1++등급), 우둔(우둔살), 생것",농축산물,육류
2619,"소고기, 한우(1++등급), 우둔(홍두깨살), 생것",농축산물,육류
2620,"소고기, 한우(1++등급), 채끝, 생것",농축산물,육류
