NO,식품명,식품대분류,식품상세분류
136,생감자로만든 스틱 포테이토 (클래식),과자류,스낵류
137,생감자로만든 스틱 포테이토 (불고기버거맛),과자류,스낵류
138,베이글칩(갈릭/허니),과자류,스낵류
139,크런치 아몬드 초콜릿 브라운,과자류,초콜릿류
140,크런치 아몬드 초콜릿 다크,과자류,초콜릿류
141,로고 코인 다크 초콜릿 (골드),과자류,초콜릿류
142,로고 코인 밀크 초콜릿 (실버),과자류,초콜릿류
143,로스티드 아몬드 앤 초콜릿,과자류,초콜릿류
144,리저브 초콜릿 세트,과자류,초콜릿류
145,블루베리 초콜릿,과자류,초콜릿류
146,에스프레소 빈 초콜릿,과자류,초콜릿류
147,제주 오름 초콜릿 세트,과자류,초콜릿류
148,스마일 쿠키 초콜릿,과자류,초콜릿류
149,핑크퐁 롤리초코,과자류,초콜릿류
150,쿠키 앤 크림 카라멜,과자류,초콜릿류
151,타블렛 쇼콜라,과자류,초콜릿류
152,애니멀 쇼콜라,과자류,초콜릿류
153,띠띠뽀 초코스틱,과자류,초콜릿류
154,지니 초코스틱,과자류,초콜릿류
155,디젤 초코스틱,과자류,초콜릿류
156,진한초코쿠키,과자류,쿠키.비스킷류
157,촉촉크림치즈 쿠키,과자류,쿠키.비스킷류
158,마카다미아넛쿠키,과자류,쿠키.비스킷류
159,록키로드쿠키,과자류,쿠키.비스킷류
160,초콜렛칩청크쿠키,과자류,쿠키.비스킷류
161,오트밀레이즌쿠키,과자류,쿠키.비스킷류
162,모어 댄 쿠키 앤 크림,과자류,쿠키.비스킷류
163,블루베리 파블랑,과자류,쿠키.비스킷류
164,쇼콜라 쿠키 파블랑,과자류,쿠키.비스킷류
165,쇼콜라 쿠키,과자류,쿠키.비스킷류
166,크랜베리 쿠키,과자류,쿠키.비스킷류
167,화이트 버터 쿠키,과자류,쿠키.비스킷류
168,다크초콜릿쿠키,과자류,쿠키.비스킷류
169,피넛버터쿠키,과자류,쿠키.비스킷류
170,모어 댄 쿠키 앤 크림 2호,과자류,쿠키.비스킷류
171,모어 댄 쿠키 앤 크림 1호,과자류,쿠키.비스킷류
172,초코피칸 쿠키,과자류,쿠키.비스킷류
173,더블퍼지 쿠키,과자류,쿠키.비스킷류
174,얼그레이 쿠키,과자류,쿠키.비스킷류
175,초콜릿 월넛 돔 쿠키,과자류,쿠키.비스킷류
176,다크 초콜릿 카우보이 쿠키,과자류,쿠키.비스킷류
177,버터 가득 라이스 쿠키,과자류,쿠키.비스킷류
178,버터 라이스 쿠키 틴백,과자류,쿠키.비스킷류
179,블루베리 잼 쿠키,과자류,쿠키.비스킷류
180,스마일 쿠키 라즈베리,과자류,쿠키.비스킷류
181,오트밀 레이즌 쿠키,과자류,쿠키.비스킷류
182,화이트 초콜릿 카우보이 쿠키,과자류,쿠키.비스킷류
183,아포가토 스트로베리 쿠키,과자류,쿠키.비스킷류
184,크리미초코 감자쿠키,과자류,쿠키.비스킷류
185,크리미치즈 그레인쿠키,과자류,쿠키.비스킷류
186,브라우니 쿠키,과자류,쿠키.비스킷류
187,생크림 초코쿠키빵,과자류,쿠키.비스킷류
188,스노우 쿠키슈,과자류,쿠키.비스킷류
189,초코렛 청크 쿠키,과자류,쿠키.비스킷류
190,마카다미아 쿠키,과자류,쿠키.비스킷류
191,베어베터 쿠키,과자류,쿠키.비스킷류
192,라이스 리얼 초코칩 쿠키,과자류,쿠키.비스킷류
193,쿠키&치즈,과자류,쿠키.비스킷류
194,벨지엄 쿠키세트,과자류,쿠키.비스킷류
195,뽀로로 얼큰쿠키,과자류,쿠키.비스킷류
196,잉글리쉬 토피 쿠키,과자류,쿠키.비스킷류
197,쿠키앤크림 마카롱,과자류,쿠키.비스킷류
198,다크초콜릿 마카다미아 쿠키,과자류,쿠키.비스킷류
199,크랜베리 월넛 쿠키,과자류,쿠키.비스킷류
200,핑크퐁 아기상어 쿠키,과자류,쿠키.비스킷류
201,핑크퐁 엄마상어 쿠키,과자류,쿠키.비스킷류
202,초코청크 쿠키,과자류,쿠키.비스킷류
203,로투스 안나쿠키 (카푸치노),과자류,쿠키.비스킷류
204,로투스 안나쿠키(오렌지),과자류,쿠키.비스킷류
205,크롱 얼큰쿠키,과자류,쿠키.비스킷류
206,더블 초코칩 쿠키,과자류,쿠키.비스킷류
207,초코칩 쿠키,과자류,쿠키.비스킷류
208,오트밀 레이즌,과자류,쿠키.비스킷류
209,화이트 초코 마카다미아,과자류,쿠키.비스킷류
210,더블초코칩쿠키,과자류,쿠키.비스킷류
211,청키초코칩쿠키,과자류,쿠키.비스킷류
212,피넛버터쿠키,과자류,쿠키.비스킷류
213,디럭스쿠키(화이트버터쿠키),과자류,쿠키.비스킷류
214,디럭스쿠키(커피디아망쿠키),과자류,쿠키.비스킷류
215,디럭스쿠키(가나슈쿠키),과자류,쿠키.비스킷류
216,디럭스쿠키(로터스쿠키),과자류,쿠키.비스킷류
217,디럭스쿠키(초콜릿칩쿠키),과자류,쿠키.비스킷류
218,디럭스쿠키(크랜베리쿠키),과자류,쿠키.비스킷류
219,가나슈쿠키,과자류,쿠키.비스킷류
220,랑그드샤쿠키세트,과자류,쿠키.비스킷류
221,쿠키컬렉션,과자류,쿠키.비스킷류
222,쿠키블라썸,과자류,쿠키.비스킷류
223,더블초코칩 쿠키,과자류,쿠키.비스킷류
224,크렌베리아몬드쿠키,과자류,쿠키.비스킷류
225,모카초코칩 쿠키,과자류,쿠키.비스킷류
226,수제 크런치초코쿠키,과자류,쿠키.비스킷류
227,수제 모카초코칩쿠키,과자류,쿠키.비스킷류
228,수제 치즈쿠키,과자류,쿠키.비스킷류
229,초콜릿청크 쿠키,과자류,쿠키.비스킷류
230,마카다미아넛 쿠키,과자류,쿠키.비스킷류
231,록키로드 쿠키,과자류,쿠키.비스킷류
232,매작과,과자류,한과류
233,산자,과자류,한과류
234,송화다식,과자류,한과류
235,약과,과자류,한과류
236,유과,과자류,한과류
237,3mm 황금비율로 바삭하고 고소한 전병세트,과자류,한과류
238,월병명가,과자류,한과류
239,양갱세트(뚜레쥬르팥맛영양갱),과자류,한과류
240,양갱세트(뚜레쥬르고구마맛영양갱),과자류,한과류
241,양갱세트(뚜레쥬르밤맛영양갱),과자류,한과류
242,우리밀전병세트(우리밀로만든검은깨전병),과자류,한과류
243,우리밀전병세트(우리밀로만든땅콩전병),과자류,한과류
244,우리밀전병세트(우리밀로만든김맛전병),과자류,한과류
245,참치 두부 함박스테이크,구이류,기타 구이류
246,붕장어소금구이,구이류,어패류구이
247,양념장어구이,구이류,어패류구이
248,임연수구이,구이류,어패류구이
249,황태구이,구이류,어패류구이
250,가자미구이,구이류,어패류구이
251,갈치구이,구이류,어패류구이
252,고등어구이,구이류,어패류구이
253,고등어석쇠구이,구이류,어패류구이
254,굴비구이,구이류,어패류구이
255,꽁치구이,구이류,어패류구이
256,뱅어포구이,구이류,어패류구이
257,삼치구이,구이류,어패류구이
258,새우구이,구이류,어패류구이
259,조기구이,구이류,어패류구이
260,조미김,구이류,어패류구이
261,쥐포구이,구이류,어패류구이
262,참치머리구이,구이류,어패류구이
263,키조개구이,구이류,어패류구이
264,꿩불고기,구이류,육류구이
265,닭갈비,구이류,육류구이
266,닭갈비,구이류,육류구이
267,닭꼬치,구이류,육류구이
268,돼지갈비,구이류,육류구이
269,불고기,구이류,육류구이
270,소양념갈비구이,구이류,육류구이
271,양념왕갈비,구이류,육류구이
272,햄버그스테이크,구이류,육류구이
273,훈제오리,구이류,육류구이
274,바비큐폭립,구이류,육류구이
275,그릴소세지,구이류,육류구이
276,그릴 더 쏘&윙(소세지+윙),구이류,육류구이
277,간장양념닭다리구이,구이류,육류구이
278,닭고기대파꼬치구이,구이류,육류구이
279,닭구이,구이류,육류구이
280,닭발구이,구이류,육류구이
281,돼지갈비구이,구이류,육류구이
282,돼지고기산적,구이류,육류구이
283,돼지불고기,구이류,육류구이
284,등심스테이크,구이류,육류구이
285,런천미트구이,구이류,육류구이
286,삼겹살고추장구이,구이류,육류구이
287,삼겹살구이,구이류,육류구이
288,쇠갈비구이,구이류,육류구이
289,쇠곱창구이,구이류,육류구이
290,쇠불고기,구이류,육류구이
291,안심스테이크,구이류,육류구이
292,오리고기구이,구이류,육류구이
293,오리불고기,구이류,육류구이
294,장어고추장구이,구이류,육류구이
295,치킨데리야끼,구이류,육류구이
296,함박스테이크,구이류,육류구이
297,햄구이,구이류,육류구이
298,함박스테이크 & 토마토카레소스,구이류,육류구이
299,퓨전떡갈비,구이류,육류구이
300,치킨바베큐,구이류,육류구이
301,블랙라벨 스테이크,구이류,육류구이
302,소고기 찹스테이크,구이류,육류구이
303,레드 칠리 스테이크,구이류,육류구이
304,피에스타 스테이크,구이류,육류구이
305,더블 체다 함박 스테이크,구이류,육류구이
306,블랙라벨 파히타,구이류,육류구이
307,그레이프 소스 스테이크,구이류,육류구이
308,<피코크>레드와인소스스테이크,구이류,육류구이
309,<아내의 식탁>스노윙찹스테이크,구이류,육류구이
310,<파빌리온>양갈비 스테이크,구이류,육류구이
311,더덕구이,구이류,채소류구이
312,옥수수 버터구이(6개),구이류,채소류구이
313,버섯구이,구이류,채소류구이
314,새송이버섯구이,구이류,채소류구이
315,표고버섯구이,구이류,채소류구이
316,두부구이 & 버섯소스,구이류,채소류구이
317,떡만둣국,국 및 탕류,기타 국류
318,만둣국,국 및 탕류,기타 국류
319,달걀국,국 및 탕류,기타 국류
320,메밀묵국,국 및 탕류,기타 국류
321,순두부달걀탕,국 및 탕류,기타 국류
322,떡국,국 및 탕류,기타 국류
323,떡만두국,국 및 탕류,기타 국류
324,<더 이지>돈사골 순대국,국 및 탕류,기타 국류
325,미역냉국,국 및 탕류,냉국류
326,미역오이냉국,국 및 탕류,냉국류
327,오이냉국,국 및 탕류,냉국류
328,게국지,국 및 탕류,어패류국.탕
329,곰치국,국 및 탕류,어패류국.탕
330,굴국밥,국 및 탕류,어패류국.탕
331,매생이국,국 및 탕류,어패류국.탕
332,바지락조개국,국 및 탕류,어패류국.탕
333,올갱이국,국 및 탕류,어패류국.탕
334,우렁된장국,국 및 탕류,어패류국.탕
335,홍합미역국,국 및 탕류,어패류국.탕
336,황태해장국,국 및 탕류,어패류국.탕
337,광어매운탕,국 및 탕류,어패류국.탕
338,낙지탕,국 및 탕류,어패류국.탕
339,대구매운탕,국 및 탕류,어패류국.탕
340,대구지리탕,국 및 탕류,어패류국.탕
341,메기매운탕,국 및 탕류,어패류국.탕
342,복지리탕,국 및 탕류,어패류국.탕
343,아구탕,국 및 탕류,어패류국.탕
344,어탕,국 및 탕류,어패류국.탕
345,연포탕,국 및 탕류,어패류국.탕
346,우럭매운탕,국 및 탕류,어패류국.탕
347,전복탕,국 및 탕류,어패류국.탕
348,조기매운탕,국 및 탕류,어패류국.탕
349,짱뚱어탕,국 및 탕류,어패류국.탕
350,추어탕,국 및 탕류,어패류국.탕
351,해물탕,국 및 탕류,어패류국.탕
352,굴무국,국 및 탕류,어패류국.탕
353,대합미역국,국 및 탕류,어패류국.탕
354,동태국,국 및 탕류,어패류국.탕
355,미역국,국 및 탕류,어패류국.탕
356,미역된장국,국 및 탕류,어패류국.탕
357,북엇국,국 및 탕류,어패류국.탕
358,새우미역국,국 및 탕류,어패류국.탕
359,새우탕,국 및 탕류,어패류국.탕
360,어묵국,국 및 탕류,어패류국.탕
361,오징어국,국 및 탕류,어패류국.탕
362,재첩국,국 및 탕류,어패류국.탕
363,조갯국,국 및 탕류,어패류국.탕
364,해물된장국,국 및 탕류,어패류국.탕
365,홍합무국,국 및 탕류,어패류국.탕
366,바지락맑은국,국 및 탕류,어패류국.탕
367,바지락 미역국,국 및 탕류,어패류국.탕
368,북어 무국,국 및 탕류,어패류국.탕
369,미역 미소국,국 및 탕류,어패류국.탕
370,코다리 뿌리채소 들깨탕,국 및 탕류,어패류국.탕
371,알곤이탕,국 및 탕류,어패류국.탕
372,대구뽈탕,국 및 탕류,어패류국.탕
373,<더 이지>속풀이 황태진국,국 및 탕류,어패류국.탕
374,<파빌리온>설악황태진국,국 및 탕류,어패류국.탕
375,뼈다귀해장국,국 및 탕류,육류국.탕
376,선지해장국,국 및 탕류,육류국.탕
377,소고기무국,국 및 탕류,육류국.탕
378,곰탕,국 및 탕류,육류국.탕
379,소탕,국 및 탕류,육류국.탕
380,갈비탕,국 및 탕류,육류국.탕
381,곰탕,국 및 탕류,육류국.탕
382,꼬리곰탕,국 및 탕류,육류국.탕
383,닭개장,국 및 탕류,육류국.탕
384,닭곰탕,국 및 탕류,육류국.탕
385,도가니탕,국 및 탕류,육류국.탕
386,뼈해장국,국 및 탕류,육류국.탕
387,사골국,국 및 탕류,육류국.탕
388,삼계탕,국 및 탕류,육류국.탕
389,선짓국(선지해장국),국 및 탕류,육류국.탕
390,설렁탕,국 및 탕류,육류국.탕
391,쇠고기무국,국 및 탕류,육류국.탕
392,쇠고기미역국,국 및 탕류,육류국.탕
393,쇠고기배춧국,국 및 탕류,육류국.탕
